"subtype","model","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"IDHmut-codel","Clinicoradiologic","log_tumor_volume",0.45581721812526016,0.25165887772045253,1.8112503014163108,0.0701021149733761,-0.037425118596596085,0.9490595548471163
"IDHmut-codel","Clinicoradiologic","flair_ord",0.32672802126658385,0.13923721560490565,2.346556700714952,0.018947783018977753,0.05382809337333044,0.5996279491598373
"IDHmut-codel","3D-CNN","cnn_z",0.579596761651634,0.14467026826053564,4.006329487188358,6.166960775935986e-5,0.2960482462272361,0.863145277076032
"IDHmut-codel","3D-ViT","vit_z",0.8012393689126106,0.1559821883786844,5.136736298168921,2.795507870204067e-7,0.49551989746064706,1.106958840364574
"IDHmut-codel","CR-ViT","who_grade.L",1.1916096128437,0.39014691949032043,3.0542586736309314,0.0022561745226560505,0.426935701963424,1.9562835237239757
"IDHmut-codel","CR-ViT","who_grade.Q",,0,,,,
"IDHmut-codel","CR-ViT","extent_of_resectionSubtotal resection",0.7407154402820618,0.2702008788131418,2.7413509664944713,0.006118711137495451,0.21113144921723226,1.2702994313468914
"IDHmut-codel","CR-ViT","log_tumor_volume",0.30996534369792805,0.2607359106367713,1.1888095619085541,0.23451461447949762,-0.20106765062639764,0.8209983380222537
"IDHmut-codel","CR-ViT","flair_ord",0.4724279508828592,0.15145171516684863,3.1193304767952164,0.00181262531817216,0.17558804375901732,0.7692678580067012
"IDHmut-codel","CR-ViT","vit_z",0.8794037824008482,0.15706042704035375,5.599142947541469,2.1541411829971043e-8,0.571571002005274,1.1872365627964223
"GBM","Clinicoradiologic","age",0.020263999251070863,0.00445808145456507,4.545452894388135,5.481725625424605e-6,0.011526320159977392,0.029001678342164335
"GBM","Clinicoradiologic","mgmt_promoter_methylationUnmethylated",0.41689446864942625,0.1136911719468908,3.666902728772754,2.455061306329352e-4,0.1940638662733698,0.6397250710254827
"GBM","Clinicoradiologic","extent_of_resectionSubtotal resection",0.3786624725866755,0.11508574995448675,3.290263761902982,0.0010009350985351183,0.15309854754209937,0.6042263976312516
"GBM","Clinicoradiologic","necrotic_ord",0.24268333838374345,0.05806329498927027,4.179634284078949,2.9197826822165203e-5,0.12888137138104877,0.35648530538643813
"GBM","Clinicoradiologic","ependymal_involvementPresent",0.18244340265972112,0.12628532889142838,1.4446919864822434,0.14854442179644597,-0.065071293743274,0.4299580990627162
"GBM","3D-CNN","cnn_z",0.4663481114703312,0.05707458825307924,8.170853715185078,3.06214753711811e-16,0.35448397406184307,0.5782122488788193
"GBM","3D-ViT","vit_z",0.7270160741446371,0.0659966816631926,11.015948920809235,3.20145216275314e-28,0.5976649549856247,0.8563671933036495
"GBM","CR-ViT","age",0.024114183806777184,0.004743146054964733,5.084006169604761,3.695559257355844e-7,0.01481778836563307,0.0334105792479213
"GBM","CR-ViT","mgmt_promoter_methylationUnmethylated",0.556289047665306,0.11518268083922269,4.829624068585449,1.3679106063496006e-6,0.3305351415776578,0.7820429537529541
"GBM","CR-ViT","extent_of_resectionSubtotal resection",0.33690650159589486,0.11529605319980701,2.9220991720509195,0.0034768081566957146,0.1109303897646591,0.5628826134271306
"GBM","CR-ViT","necrotic_ord",0.2753147267757566,0.05924378064873668,4.647149857098585,3.3655267827853695e-6,0.15919905039624171,0.39143040315527144
"GBM","CR-ViT","ependymal_involvementPresent",0.42486542153742596,0.12917584211451402,3.2890470430282464,0.0010052721988189537,0.1716854233203462,0.6780454197545057
"GBM","CR-ViT","vit_z",0.8034655159743472,0.06829519576042713,11.764597890499147,5.940872243977051e-32,0.6696093919667975,0.937321639981897
