"cohort","subtype","model","time_months","auc","brier"
"Temporal validation cohort","IDHmut-codel","CR-ViT",12,0.7907698987337314,0.08011752276958502
"Temporal validation cohort","IDHmut-codel","CR-ViT",18,0.7673490669492095,0.10791990245570511
"Temporal validation cohort","IDHmut-codel","CR-ViT",24,0.7408371660161518,0.15212039766150004
"Temporal validation cohort","IDHmut-codel","CR-ViT",30,0.7804746839726868,0.16436783244831665
"Temporal validation cohort","IDHmut-codel","CR-ViT",36,0.8059265669834937,0.17447431293543406
"Temporal validation cohort","GBM","3D-CNN",6,0.5911877605660738,0.23553993609136867
"Temporal validation cohort","GBM","3D-CNN",12,0.6660626254253843,0.2162053865672079
"Temporal validation cohort","GBM","3D-CNN",18,0.7251279283124465,0.16240518086539313
"Temporal validation cohort","GBM","3D-CNN",24,0.7784409185980065,0.1357162043292571
"Temporal validation cohort","GBM","3D-CNN",30,0.8214051053485828,0.09891445990023819
"Temporal validation cohort","GBM","3D-CNN",36,0.8587910571583071,0.0774742204800224
"Temporal validation cohort","GBM","Clinicoradiologic",6,0.6624584050487664,0.22400544037534442
"Temporal validation cohort","GBM","Clinicoradiologic",12,0.6995263273815016,0.20834593003463805
"Temporal validation cohort","GBM","Clinicoradiologic",18,0.7245051959013573,0.16408405219417355
"Temporal validation cohort","GBM","Clinicoradiologic",24,0.7205387839461102,0.15201800842132718
"Temporal validation cohort","GBM","Clinicoradiologic",30,0.7545654930947165,0.1201067099724405
"Temporal validation cohort","GBM","Clinicoradiologic",36,0.7877729148612609,0.09733873976412054
"Temporal validation cohort","GBM","3D-ViT",6,0.6903262956588258,0.21322634216340455
"Temporal validation cohort","GBM","3D-ViT",12,0.7494675729696165,0.19237104040072725
"Temporal validation cohort","GBM","3D-ViT",18,0.8138085660392789,0.1416586585191512
"Temporal validation cohort","GBM","3D-ViT",24,0.8613300341806195,0.11488252379434634
"Temporal validation cohort","GBM","3D-ViT",30,0.9086890010477935,0.08141988521532209
"Temporal validation cohort","GBM","3D-ViT",36,0.9512672404415496,0.05962699368673147
"Temporal validation cohort","GBM","CR-ViT",6,0.7528869764773379,0.19633221240698168
"Temporal validation cohort","GBM","CR-ViT",12,0.8142767314370171,0.16861900210036088
"Temporal validation cohort","GBM","CR-ViT",18,0.8712991796148293,0.12218875946080361
"Temporal validation cohort","GBM","CR-ViT",24,0.9051941162389613,0.09910324356820073
"Temporal validation cohort","GBM","CR-ViT",30,0.9260259068323614,0.07369360518364075
"Temporal validation cohort","GBM","CR-ViT",36,0.9693557481449526,0.052210309365860616
"Spatial validation cohort","IDHmut-intact","3D-CNN",6,0.5680208760034262,0.05617837723475177
"Spatial validation cohort","IDHmut-intact","3D-CNN",12,0.6045620890024302,0.11031551152499491
"Spatial validation cohort","IDHmut-intact","3D-CNN",18,0.6475517923391964,0.14537059627728696
