"cohort","subtype","model","time_months","risk_quantile","n","predicted_event_probability","observed_event_probability"
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",24,3,17,0.18958718271186242,0.11764705882352944
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",24,4,17,0.2576298123115795,0.32291666666666674
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",24,5,16,0.4525808756969991,0.25
"Temporal validation cohort","IDHmut-codel","3D-CNN",24,1,17,0.10642210510859958,0.11764705882352944
"Temporal validation cohort","IDHmut-codel","3D-CNN",24,2,17,0.15327800231486996,0.05882352941176472
"Temporal validation cohort","IDHmut-codel","3D-CNN",24,3,17,0.19728133288025532,0.19887955182072836
"Temporal validation cohort","IDHmut-codel","3D-CNN",24,4,17,0.2498869516929464,0.3158371040723982
"Temporal validation cohort","IDHmut-codel","3D-CNN",24,5,16,0.39807397018422663,0.45174825174825184
"Temporal validation cohort","IDHmut-codel","3D-ViT",24,1,17,0.0790973000029659,0.05882352941176472
"Temporal validation cohort","IDHmut-codel","3D-ViT",24,2,17,0.12159630121172128,0.12605042016806722
"Temporal validation cohort","IDHmut-codel","3D-ViT",24,3,17,0.20242588218423344,0.18552036199095023
"Temporal validation cohort","IDHmut-codel","3D-ViT",24,4,17,0.2911587180638156,0.26285479226655695
"Temporal validation cohort","IDHmut-codel","3D-ViT",24,5,16,0.49712209901735915,0.5825602968460111
"Temporal validation cohort","IDHmut-codel","CR-ViT",24,1,17,0.03658644208488459,0.05882352941176472
"Temporal validation cohort","IDHmut-codel","CR-ViT",24,2,17,0.08058735190462474,0.2102564102564103
"Temporal validation cohort","IDHmut-codel","CR-ViT",24,3,17,0.14006552592627147,0.19887955182072836
"Temporal validation cohort","IDHmut-codel","CR-ViT",24,4,17,0.2534777490724933,0.24894957983193278
"Temporal validation cohort","IDHmut-codel","CR-ViT",24,5,16,0.7248098889823772,0.45211038961038963
"Temporal validation cohort","GBM","Clinicoradiologic",12,1,35,0.4364331594795874,0.2941176470588236
"Temporal validation cohort","GBM","Clinicoradiologic",12,2,35,0.5651850380035237,0.7142857142857144
"Temporal validation cohort","GBM","Clinicoradiologic",12,3,35,0.6290250075367176,0.5750000000000002
"Temporal validation cohort","GBM","Clinicoradiologic",12,4,35,0.7145627124419096,0.6849266022198353
"Temporal validation cohort","GBM","Clinicoradiologic",12,5,35,0.8205228987698251,0.8606802721088436
"Temporal validation cohort","GBM","3D-CNN",12,1,35,0.3810962055805582,0.5462184873949582
"Temporal validation cohort","GBM","3D-CNN",12,2,35,0.5188720238532272,0.37990430622009586
"Temporal validation cohort","GBM","3D-CNN",12,3,35,0.6082149913707343,0.6331668331668332
"Temporal validation cohort","GBM","3D-CNN",12,4,35,0.6987288398687256,0.7142857142857144
"Temporal validation cohort","GBM","3D-CNN",12,5,35,0.8258849458392848,0.8476190476190477
"Temporal validation cohort","GBM","3D-ViT",12,1,35,0.3134764501492008,0.34285714285714297
"Temporal validation cohort","GBM","3D-ViT",12,2,35,0.5039675559135228,0.5519274376417235
"Temporal validation cohort","GBM","3D-ViT",12,3,35,0.6390532997939302,0.5880769230769232
"Temporal validation cohort","GBM","3D-ViT",12,4,35,0.7409180943388453,0.744
"Temporal validation cohort","GBM","3D-ViT",12,5,35,0.8969744885719727,0.9071428571428571
"Temporal validation cohort","GBM","CR-ViT",12,1,35,0.2396252727661704,0.2868571428571429
"Temporal validation cohort","GBM","CR-ViT",12,2,35,0.4672327681933359,0.4132427843803056
"Temporal validation cohort","GBM","CR-ViT",12,3,35,0.642062395107806,0.7032967032967035
"Temporal validation cohort","GBM","CR-ViT",12,4,35,0.8054252969694093,0.8010204081632655
"Temporal validation cohort","GBM","CR-ViT",12,5,35,0.9561927009692517,0.9380952380952381
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",24,1,40,0.1599415508737852,0.18161669829222016
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",24,2,39,0.22235479635476255,0.197506441746073
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",24,3,39,0.2764039327241982,0.2780400340370357
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",24,4,39,0.34702061355458597,0.3233618233618235
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",24,5,39,0.4845433979802771,0.400797771674253
"Spatial validation cohort","IDHmut-intact","3D-CNN",24,1,40,0.1358059560681122,0.19062500000000004
"Spatial validation cohort","IDHmut-intact","3D-CNN",24,2,39,0.21649810936773461,0.21562085543766574
"Spatial validation cohort","IDHmut-intact","3D-CNN",24,3,39,0.2880122979576612,0.2485539152205819
"Spatial validation cohort","IDHmut-intact","3D-CNN",24,4,39,0.3731567414916578,0.2726017943409247
"Spatial validation cohort","IDHmut-intact","3D-CNN",24,5,39,0.566930454539898,0.5149842129969422
"Spatial validation cohort","IDHmut-intact","3D-ViT",24,1,40,0.11451968767314531,0.17500000000000004
"Spatial validation cohort","IDHmut-intact","3D-ViT",24,2,39,0.19988464643821757,0.1087801087801088
"Spatial validation cohort","IDHmut-intact","3D-ViT",24,3,39,0.29932063002820647,0.29328247510065686
"Spatial validation cohort","IDHmut-intact","3D-ViT",24,4,39,0.42280586151094063,0.3123703000246212
"Spatial validation cohort","IDHmut-intact","3D-ViT",24,5,39,0.6438990171552382,0.5527656876176174
"Spatial validation cohort","IDHmut-intact","CR-ViT",24,1,40,0.08496759104932956,0.13142857142857145
"Spatial validation cohort","IDHmut-intact","CR-ViT",24,2,39,0.17505464937212042,0.20587225274725274
"Spatial validation cohort","IDHmut-intact","CR-ViT",24,3,39,0.2900966480097369,0.09717868338557989
"Spatial validation cohort","IDHmut-intact","CR-ViT",24,4,39,0.39323008876480137,0.467940952124557
"Spatial validation cohort","IDHmut-intact","CR-ViT",24,5,39,0.662022992216853,0.5577966158330685
