"cohort","subtype","time_months","threshold","strategy","net_benefit","n"
"Training cohort","IDHmut-intact",24,0.5750000000000001,"3D-ViT",0.04459189957439103,237
"Training cohort","IDHmut-intact",24,0.5750000000000001,"CR-ViT",0.0706952885142702,237
"Training cohort","IDHmut-intact",24,0.6,"Treat all",-0.7421135903200329,237
"Training cohort","IDHmut-intact",24,0.6,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.6,"Clinicoradiologic",0.015471167369901551,237
"Training cohort","IDHmut-intact",24,0.6,"3D-CNN",0.014533520862634791,237
"Training cohort","IDHmut-intact",24,0.6,"3D-ViT",0.03603923085053314,237
"Training cohort","IDHmut-intact",24,0.6,"CR-ViT",0.06039580389117672,237
"Training cohort","IDHmut-intact",24,0.625,"Treat all",-0.8582544963413685,237
"Training cohort","IDHmut-intact",24,0.625,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.625,"Clinicoradiologic",0.014533520862634788,237
"Training cohort","IDHmut-intact",24,0.625,"3D-CNN",-0.0028129395218002883,237
"Training cohort","IDHmut-intact",24,0.625,"3D-ViT",0.03122362869198313,237
"Training cohort","IDHmut-intact",24,0.625,"CR-ViT",0.046831223628691986,237
"Training cohort","IDHmut-intact",24,0.65,"Treat all",-0.9909869603657522,237
"Training cohort","IDHmut-intact",24,0.65,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.65,"Clinicoradiologic",0.013461924854329916,237
"Training cohort","IDHmut-intact",24,0.65,"3D-CNN",0.02109704641350211,237
"Training cohort","IDHmut-intact",24,0.65,"3D-ViT",0.022503516174402254,237
"Training cohort","IDHmut-intact",24,0.65,"CR-ViT",0.017804979830296257,237
"Training cohort","IDHmut-intact",24,0.675,"Treat all",-1.1441398034708103,237
"Training cohort","IDHmut-intact",24,0.675,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.675,"Clinicoradiologic",0.02109704641350211,237
"Training cohort","IDHmut-intact",24,0.675,"3D-CNN",0.012658227848101266,237
"Training cohort","IDHmut-intact",24,0.675,"3D-ViT",0.02703203969026754,237
"Training cohort","IDHmut-intact",24,0.675,"CR-ViT",0.002109704641350188,237
"Training cohort","IDHmut-intact",24,0.7,"Treat all",-1.3228181204267104,237
"Training cohort","IDHmut-intact",24,0.7,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.7,"Clinicoradiologic",0.012658227848101266,237
"Training cohort","IDHmut-intact",24,0.7,"3D-CNN",0.008438818565400843,237
"Training cohort","IDHmut-intact",24,0.7,"3D-ViT",-0.012658227848101266,237
"Training cohort","IDHmut-intact",24,0.7,"CR-ViT",0.007383966244725771,237
"Training cohort","IDHmut-codel",24,0.1,"Treat all",0.13604891901232963,189
"Training cohort","IDHmut-codel",24,0.1,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.1,"Clinicoradiologic",0.14578386434267723,189
"Training cohort","IDHmut-codel",24,0.1,"3D-CNN",0.12864297786063483,189
"Training cohort","IDHmut-codel",24,0.1,"3D-ViT",0.1369221630786497,189
"Training cohort","IDHmut-codel",24,0.1,"CR-ViT",0.1522364696778836,189
"Training cohort","IDHmut-codel",24,0.125,"Treat all",0.11136460241268192,189
"Training cohort","IDHmut-codel",24,0.125,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.125,"Clinicoradiologic",0.12178671040910675,189
"Training cohort","IDHmut-codel",24,0.125,"3D-CNN",0.09476091069607347,189
"Training cohort","IDHmut-codel",24,0.125,"3D-ViT",0.12150072217796398,189
"Training cohort","IDHmut-codel",24,0.125,"CR-ViT",0.14893290954190205,189
"Training cohort","IDHmut-codel",24,0.15000000000000002,"Treat all",0.08522826718952548,189
"Training cohort","IDHmut-codel",24,0.15000000000000002,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.15000000000000002,"Clinicoradiologic",0.10616016161178078,189
"Training cohort","IDHmut-codel",24,0.15000000000000002,"3D-CNN",0.0844914710568682,189
"Training cohort","IDHmut-codel",24,0.15000000000000002,"3D-ViT",0.10504827984132015,189
"Training cohort","IDHmut-codel",24,0.15000000000000002,"CR-ViT",0.14762219428273035,189
"Training cohort","IDHmut-codel",24,0.17500000000000002,"Treat all",0.057507911649814114,189
"Training cohort","IDHmut-codel",24,0.17500000000000002,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.17500000000000002,"Clinicoradiologic",0.09958175038970772,189
"Training cohort","IDHmut-codel",24,0.17500000000000002,"3D-CNN",0.08104239408415821,189
"Training cohort","IDHmut-codel",24,0.17500000000000002,"3D-ViT",0.1052403098458122,189
"Training cohort","IDHmut-codel",24,0.17500000000000002,"CR-ViT",0.12641229074431892,189
"Training cohort","IDHmut-codel",24,0.2,"Treat all",0.028055033888870845,189
"Training cohort","IDHmut-codel",24,0.2,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.2,"Clinicoradiologic",0.09129818688799154,189
"Training cohort","IDHmut-codel",24,0.2,"3D-CNN",0.07129700898497841,189
"Training cohort","IDHmut-codel",24,0.2,"3D-ViT",0.08927720568607694,189
"Training cohort","IDHmut-codel",24,0.2,"CR-ViT",0.12088513766094008,189
"Training cohort","IDHmut-codel",24,0.225,"Treat all",-0.003298029534068825,189
"Training cohort","IDHmut-codel",24,0.225,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.225,"Clinicoradiologic",0.08105216608930427,189
"Training cohort","IDHmut-codel",24,0.225,"3D-CNN",0.045410882564604745,189
"Training cohort","IDHmut-codel",24,0.225,"3D-ViT",0.06473353296289915,189
"Training cohort","IDHmut-codel",24,0.225,"CR-ViT",0.1122344298444691,189
"Training cohort","IDHmut-codel",24,0.25,"Treat all",-0.036741297185204413,189
"Training cohort","IDHmut-codel",24,0.25,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.25,"Clinicoradiologic",0.05664681182398625,189
"Training cohort","IDHmut-codel",24,0.25,"3D-CNN",0.04350743226844483,189
"Training cohort","IDHmut-codel",24,0.25,"3D-ViT",0.05283117077678858,189
"Training cohort","IDHmut-codel",24,0.25,"CR-ViT",0.09022300240627705,189
"Training cohort","IDHmut-codel",24,0.275,"Treat all",-0.07249099708814255,189
"Training cohort","IDHmut-codel",24,0.275,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.275,"Clinicoradiologic",0.046259557780295044,189
"Training cohort","IDHmut-codel",24,0.275,"3D-CNN",0.03684488934135788,189
"Training cohort","IDHmut-codel",24,0.275,"3D-ViT",0.04099413586857369,189
"Training cohort","IDHmut-codel",24,0.275,"CR-ViT",0.0945105431964137,189
"Training cohort","IDHmut-codel",24,0.30000000000000004,"Treat all",-0.11079424698414769,189
"Training cohort","IDHmut-codel",24,0.30000000000000004,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.30000000000000004,"Clinicoradiologic",0.03534391534391534,189
"Training cohort","IDHmut-codel",24,0.30000000000000004,"3D-CNN",0.03966304153508165,189
"Training cohort","IDHmut-codel",24,0.30000000000000004,"3D-ViT",0.012875090718338948,189
"Training cohort","IDHmut-codel",24,0.30000000000000004,"CR-ViT",0.07486169883046799,189
"Training cohort","IDHmut-codel",24,0.325,"Treat all",-0.15193477465022714,189
"Training cohort","IDHmut-codel",24,0.325,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.325,"Clinicoradiologic",0.03792473511143587,189
"Training cohort","IDHmut-codel",24,0.325,"3D-CNN",0.045680691165641024,189
"Training cohort","IDHmut-codel",24,0.325,"3D-ViT",0.016158658582151524,189
"Training cohort","IDHmut-codel",24,0.325,"CR-ViT",0.06279797390908497,189
"Training cohort","IDHmut-codel",24,0.35,"Treat all",-0.19623995829062046,189
"Training cohort","IDHmut-codel",24,0.35,"Treat none",0,189
