"cohort","subtype","model","time_months","brier","ibs"
"Temporal validation cohort","IDHmut-intact","CR-ViT",24,0.19609875503469806,0.1632242362494179
"Temporal validation cohort","IDHmut-intact","CR-ViT",30,0.19774255386216946,0.1632242362494179
"Temporal validation cohort","IDHmut-intact","CR-ViT",36,0.20176154708270289,0.1632242362494179
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",6,0.049865436658083497,0.1405556907633317
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",12,0.08657840060222058,0.1405556907633317
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",18,0.12034779200184592,0.1405556907633317
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",24,0.17974261040944955,0.1405556907633317
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",30,0.1927117479873186,0.1405556907633317
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",36,0.19693036897356386,0.1405556907633317
"Temporal validation cohort","IDHmut-codel","3D-CNN",6,0.05654432816064608,0.12916269411622874
"Temporal validation cohort","IDHmut-codel","3D-CNN",12,0.09519799217419879,0.12916269411622874
"Temporal validation cohort","IDHmut-codel","3D-CNN",18,0.12387144732334274,0.12916269411622874
"Temporal validation cohort","IDHmut-codel","3D-CNN",24,0.14678161307536003,0.12916269411622874
"Temporal validation cohort","IDHmut-codel","3D-CNN",30,0.1618314397611418,0.12916269411622874
"Temporal validation cohort","IDHmut-codel","3D-CNN",36,0.17971762833355465,0.12916269411622874
"Temporal validation cohort","IDHmut-codel","3D-ViT",6,0.05571580447898086,0.12081757992488555
"Temporal validation cohort","IDHmut-codel","3D-ViT",12,0.09252650537507948,0.12081757992488555
"Temporal validation cohort","IDHmut-codel","3D-ViT",18,0.11568455090844598,0.12081757992488555
"Temporal validation cohort","IDHmut-codel","3D-ViT",24,0.13755984543593225,0.12081757992488555
"Temporal validation cohort","IDHmut-codel","3D-ViT",30,0.14705855986748106,0.12081757992488555
"Temporal validation cohort","IDHmut-codel","3D-ViT",36,0.166801071595997,0.12081757992488555
"Temporal validation cohort","IDHmut-codel","CR-ViT",6,0.04534791320800519,0.12288735368136529
"Temporal validation cohort","IDHmut-codel","CR-ViT",12,0.08011752276958502,0.12288735368136529
"Temporal validation cohort","IDHmut-codel","CR-ViT",18,0.10791990245570511,0.12288735368136529
