"cohort","subtype","comparison","metric","difference","ci_low","ci_high","p_value","p_formatted"
"Temporal validation cohort","IDHmut-intact","3D-ViT vs Clinicoradiologic","ibs",-0.030761906543079698,-0.055123471641569305,-0.0025520184114686782,0.017648520052045584,"0.018"
"Temporal validation cohort","IDHmut-intact","CR-ViT vs Clinicoradiologic","cindex",0.0890635232481991,0.02393971323848654,0.1665736577352671,0.02703585206490708,"0.027"
"Temporal validation cohort","IDHmut-intact","CR-ViT vs Clinicoradiologic","iauc",0.10498325434237421,0.019541687634581677,0.18899382511660112,0.02066876384277103,"0.021"
"Temporal validation cohort","IDHmut-intact","CR-ViT vs Clinicoradiologic","ibs",-0.03385811918406276,-0.05251294697973312,-0.013333381397941747,0.0018828001345571183,"0.002"
"Temporal validation cohort","IDHmut-intact","3D-ViT vs 3D-CNN","cindex",0.07318271119842834,0.018635631891808314,0.11065048429812273,0.0029784385783919423,"0.003"
"Temporal validation cohort","IDHmut-intact","3D-ViT vs 3D-CNN","iauc",0.09249172783029191,0.03095641095900005,0.1405701206951734,9.439483115005966e-4,"<0.001"
"Temporal validation cohort","IDHmut-intact","3D-ViT vs 3D-CNN","ibs",-0.023807915673589697,-0.03401493951151067,-0.01137475161920164,3.223898549138204e-4,"<0.001"
"Temporal validation cohort","IDHmut-intact","CR-ViT vs 3D-CNN","cindex",0.0982318271119843,0.0358291787056446,0.16103044772773592,0.003634499870665469,"0.004"
"Temporal validation cohort","IDHmut-intact","CR-ViT vs 3D-CNN","iauc",0.12137470297434627,0.057330479668859555,0.1976301892525646,0.0012124035786420064,"0.001"
"Temporal validation cohort","IDHmut-intact","CR-ViT vs 3D-CNN","ibs",-0.026904128314572756,-0.04676989983726429,-0.01207466686458293,0.002840741043814314,"0.003"
"Temporal validation cohort","IDHmut-intact","CR-ViT vs 3D-ViT","cindex",0.025049115913555964,-0.02907268964777066,0.09418328683137867,0.4283837944541097,"0.428"
